advanced,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
hydroelectric,/ˌhaɪ.drəʊ.ɪˈlek.trɪk/,adjective,thủy điện,using the power of water to produce electricity; connected with this process,The country gets most of its power from hydroelectric dams.,Đất nước này lấy phần lớn điện từ các đập thủy điện.,They are building a new hydroelectric plant.,Họ đang xây dựng một nhà máy thủy điện mới.,C1,,,,,The country gets most of its power from _____________ dams.,They are building a new _____________ plant.,capital,Vốn.,dishonest,"Không trung thực, gian dối",dynasty,triều đại,squat,"ngồi xổm, squat",problematic,"Có vấn đề, gây khó khăn",Energy: from fossil fuels to windmills
fossil fuel,/ˌfɒsl ˈfjuːəl/,noun,Nhiên liệu hóa thạch,"a fuel such as coal or oil, formed from the decayed remains of animals or plants that lived millions of years ago",Burning fossil fuels releases CO2.,Đốt nhiên liệu hóa thạch thải ra CO2.,We need to reduce our dependence on fossil fuels.,Chúng ta cần giảm sự phụ thuộc vào nhiên liệu hóa thạch.,B2,,,,,Burning _____________ releases CO2.,We need to reduce our dependence on _____________.,journal,Tạp chí (chuyên ngành),reflect,"phản chiếu, phản xạ, dội lại",ancestor,"tổ tiên, ông bà",deforestation,nạn phá rừng,portion,"Phần, suất ăn",Energy: from fossil fuels to windmills
consume,/kənˈsjuːm/,verb,"Tiêu thụ, tiêu dùng","to use something, especially fuel, energy or time; to eat or drink something",The electricity industry consumes large amounts of water.,Ngành công nghiệp điện tiêu thụ một lượng lớn nước.,Researchers are studying how much energy different social media platforms consume per user.,Các nhà nghiên cứu đang nghiên cứu lượng năng lượng mà các nền tảng truyền thông xã hội khác nhau tiêu thụ trên mỗi người dùng.,B1,,,,,The electricity industry _____________ large amounts of water.,Researchers are studying how much energy different social media platforms _____________ per user.,journal,Tạp chí (chuyên ngành),quickly,"nhanh chóng, mau lẹ",fabric,Chất liệu vải,dawn,bình minh,cereal,Ngũ cốc,Energy: from fossil fuels to windmills
carbon footprint,/ˌkɑːbən ˈfʊtprɪnt/,noun,Dấu chân carbon,"a measure of the amount of carbon dioxide produced by the activities of a person, company, etc.",We are looking at ways to reduce our carbon footprint.,Chúng tôi đang tìm cách giảm lượng khí thải carbon của mình.,Flying less is one way to shrink your personal carbon footprint.,Bay ít đi là một cách để thu nhỏ dấu chân carbon cá nhân của bạn.,B2,,,,,We are looking at ways to reduce our _____________.,Flying less is one way to shrink your personal _____________.,subscribe,"Đặt mua (báo dài hạn), đăng ký (dịch vụ)",audition,"buổi thử vai, buổi thử giọng",outfit,"Bộ trang phục, bộ đồ",hydroelectric,thủy điện,implant,Cấy ghép,Energy: from fossil fuels to windmills
offshore,/ˌɒfˈʃɔːr/,adjective,ngoài khơi,"located or happening in the sea, not far from the coast",The wind farm is located several miles offshore.,Trang trại điện gió nằm cách bờ vài dặm xa bờ.,The company specializes in offshore oil drilling.,Công ty chuyên về khoan dầu xa bờ.,B2,,,,,The wind farm is located several miles _____________.,The company specializes in _____________ oil drilling.,cholesterol,cholesterol,paparazzi,nhóm săn ảnh (thường săn đón người nổi tiếng),mistrust,"không tin tưởng, nghi ngờ",bill,hóa đơn thanh toán,exert,"gây ra (sức ép/ảnh hưởng); cố gắng, nỗ lực",Energy: from fossil fuels to windmills
consumption,/kənˈsʌmpʃn/,noun,"sự tiêu thụ, mức tiêu thụ","the act of using energy, food or materials; the amount used",We need to reduce our energy consumption.,Chúng ta cần giảm mức tiêu thụ năng lượng.,The studys findings indicated a direct link between economic growth and increased energy consumption.,Các phát hiện của nghiên cứu chỉ ra mối liên hệ trực tiếp giữa tăng trưởng kinh tế và mức tiêu thụ năng lượng gia tăng.,B2,,,,,We need to reduce our energy _____________.,The studys findings indicated a direct link between economic growth and increased energy _____________.,stroke,"đột quỵ, tai biến mạch máu não",physician,bác sĩ (nội khoa),ease,"làm dịu, giảm bớt",undertake,"đảm nhận, cam kết",ecological,thuộc về sinh thái,Energy: from fossil fuels to windmills
monitor,/ˈmɒnɪtə(r)/,noun,"lớp trưởng, cán bộ lớp","a student in a school with special duties, such as helping a teacher",The control room monitors all production lines 24/7.,Phòng điều khiển giám sát tất cả các dây chuyền sản xuất 24/7.,We need to monitor the progress of the project closely.,Chúng ta cần theo dõi chặt chẽ tiến độ của dự án.,B1,,,,,The control room _____________ all production lines 24/7.,We need to _____________ the progress of the project closely.,pose,tạo dáng,acute,cấp tính,war-torn,bị tàn phá bởi chiến tranh,delicate,"mỏng manh, tinh tế",demographic,"nhóm nhân khẩu học, thành phần dân số",Energy: from fossil fuels to windmills
wind farm,/ˈwɪnd fɑːm/,noun,trang trại gió,an area of land or sea where there are a lot of wind turbines for producing electricity,The offshore wind farm will generate enough power for millions of homes.,Trang trại gió ngoài khơi sẽ tạo ra đủ điện cho hàng triệu ngôi nhà.,The construction of the new wind farm faced initial opposition from local residents.,Việc xây dựng trang trại gió mới đã vấp phải sự phản đối ban đầu từ cư dân địa phương.,B2,,,,,The offshore _____________ will generate enough power for millions of homes.,The construction of the new _____________ faced initial opposition from local residents.,fiber,chất xơ,chronic,mãn tính,encouraging,"khích lệ, động viên",illiteracy,"nạn mù chữ, sự thất học",browse,"duyệt, xem lướt qua",Energy: from fossil fuels to windmills
stuff,stʌf,verb,nhồi nhét,to fill,I need to stuff the turkey.,Tôi cần nhồi con gà tây.,She stuffed the bag with clothes.,Cô ấy nhồi nhét quần áo vào túi.,B2,,,,,I need to _____________ the turkey.,She _____________ the bag with clothes.,finite,"có hạn, hữu hạn",retraining,sự đào tạo lại,bowel,ruột,fight off,chống chọi,opulent,sang trọng,Space: no room to swing a cat
extensive,/ɪkˈstensɪv/,adjective,"rộng rãi, bao quát",covering a large area; great in amount or range,"The national museum has an extensive collection of traditional musical instruments, some of which are the last surviving examples of their kind and are no longer playable.","Bảo tàng quốc gia có một bộ sưu tập bao quát các nhạc cụ truyền thống, một số trong đó là những ví dụ cuối cùng còn sót lại của loại này và không còn chơi được nữa.",Extensive damage caused by the flooding to the adobe heritage structures required a massive international effort to rebuild the ancient walls using the original sun-dried brick methods.,Thiệt hại rộng do lũ lụt gây ra cho các cấu trúc di sản bằng gạch bùn đòi hỏi một nỗ lực quốc tế lớn để xây dựng lại các bức tường cổ bằng phương pháp gạch phơi nắng nguyên bản.,B2,,,,,"The national museum has an _____________ collection of traditional musical instruments, some of which are the last surviving examples of their kind and are no longer playable.",_____________ damage caused by the flooding to the adobe heritage structures required a massive international effort to rebuild the ancient walls using the original sun-dried brick methods.,AIDS,bệnh AIDS (một hội chứng suy giảm miễn dịch do virus HIV gây ra),scrupulously,"một cách tỉ mỉ, cẩn thận",warranty,"giấy bảo hành, sự bảo hành",notify,thông báo,ache,Cơn đau âm ỉ; cảm thấy đau âm ỉ,Space: no room to swing a cat
squeeze,/skwiːz/,verb,"vắt, ép","to press something firmly, especially to get juice from fruit",Squeeze the lemon and add the juice to the sauce.,Vắt chanh và cho nước cốt vào nước sốt.,She squeezed some orange juice for breakfast.,Cô ấy đã vắt một ít nước cam cho bữa sáng.,A2,,,,,_____________ the lemon and add the juice to the sauce.,She _____________ some orange juice for breakfast.,lentil,đậu lăng,psychiatrist,bác sĩ tâm thần,effort,"sự nỗ lực, cố gắng",uphold,"ủng hộ, duy trì, giữ vững (nguyên tắc, quyết định)",index,chỉ số,Space: no room to swing a cat
ample,ˈæmpl,adjective,dư dả,enough,There is ample space for everyone.,Có dư dả không gian cho mọi người.,She has ample time to finish.,Cô ấy có nhiều thời gian để hoàn thành.,B2,,,,,There is _____________ space for everyone.,She has _____________ time to finish.,appliance,thiết bị,service industry,ngành dịch vụ,disorder,"sự rối loạn, bệnh lý",go down with,bị mắc bệnh,pamper,nuông chiều,Space: no room to swing a cat
cram into,ˌkræm ˈɪntə,verb,nhồi nhét vào,to squeeze into,I had to cram into the crowded bus.,Tôi đã phải chen chúc vào xe buýt đông đúc.,The students crammed into the lecture hall.,Sinh viên nhồi nhét vào giảng đường.,B2,,,,,I had to _____________ the crowded bus.,The students _____________ the lecture hall.,biomass,sinh khối,sweatshop,xưởng bóc lột sức lao động,exceed,vượt quá,nauseous,buồn nôn,rock-bottom,thấp nhất,Space: no room to swing a cat
cramped,kræmpt,adjective,chật chội,tight,The flat is very cramped for six people.,Căn hộ rất chật chội cho sáu người.,I don't like cramped spaces.,Tôi không thích những không gian tù túng.,B2,,,,,The flat is very _____________ for six people.,I don't like _____________ spaces.,coal-fired,chạy bằng than đá,biotechnology,công nghệ sinh học,gastrointestinal,thuộc về dạ dày-ruột,out of sorts,khó chịu,sumptuous,xa hoa,Space: no room to swing a cat
hem in,ˌhem ˈɪn,verb,bao vây,to confine,I feel hemmed in by the tall buildings.,Tôi cảm thấy bị giam hãm bởi những tòa nhà cao tầng.,The city hems us in.,Thành phố bao vây chúng tôi.,C1,,,,,I feel _____________ by the tall buildings.,The city _____________ us _____________.,energy-efficient,tiết kiệm năng lượng,desktop computer,máy tính để bàn,pulse,nhịp đập,shivery,run rẩy,tantalizingly,một cách trêu ngươi,Space: no room to swing a cat
labyrinth,ˈlæbərɪnθ,noun,mê cung,maze,The building is a labyrinth of corridors.,Tòa nhà là một mê cung hành lang.,I got lost in the labyrinth.,Tôi bị lạc trong mê cung.,C1,,,,,The building is a _____________ of corridors.,I got lost in the _____________.,food mile,dặm thực phẩm,e-reader,máy đọc sách điện tử,a level playing field,sân chơi bình đẳng,sleepless,mất ngủ,turn heads,thu hút sự chú ý,Space: no room to swing a cat
no room to swing a cat,ˌnəʊ ˌruːm tə ˌswɪŋ ə ˈkæt,phrase,chật như nêm,very cramped,There's no room to swing a cat in this flat.,Trong căn hộ này chật như nêm.,The office is so small there's no room to swing a cat.,Văn phòng nhỏ đến mức không có chỗ để cựa quậy.,C1,,,,,There's _____________ in this flat.,The office is so small there's _____________.,gas guzzler,xe cộ tiêu tốn nhiều nhiên liệu,ergonomics,công thái học,brisk,nhanh nhẹn,sting,châm chích,unsurpassed,không thể vượt qua,Space: no room to swing a cat
packed like sardines,ˌpækt laɪk sɑːˈdiːnz,phrase,đông nghịt,very crowded,We were packed like sardines on the train.,Chúng tôi bị nhồi nhét đông nghịt như cá mòi trên tàu.,The room was packed like sardines.,Căn phòng chật như nêm.,C1,,,,,We were _____________ on the train.,The room was _____________.,geothermal energy,năng lượng địa nhiệt,smartphone,điện thoại thông minh,in the running,có cơ hội,throb,đau nhức nhối,back copy,số báo cũ,Space: no room to swing a cat
