Từ vựng,IPA,Từ loại,Nghĩa Tiếng Việt,Nghĩa Tiếng Anh,Ví dụ,Nghĩa ví dụ,Ví dụ,Nghĩa ví dụ,Trình độ,Audio từ vựng,Ảnh từ vựng,Ảnh ví dụ,Ảnh ví dụ,Đục lỗ ví dụ,Đục lỗ ví dụ,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,Từ vựng gây nhiễu,Nghĩa gây nhiễu,topic
republic,/rɪˈpʌblɪk/,noun,Nền cộng hòa,a state in which supreme power is held by the people and their elected representatives,France is a republic.,Pháp là một nước cộng hòa.,India is the world's largest republic.,Ấn Độ là nền cộng hòa lớn nhất thế giới.,B1,,,,,France is a _____________.,India is the world's largest _____________.,legislature,cơ quan lập pháp,senate,Thượng viện,polling station,điểm bỏ phiếu,soap opera,Phim truyền hình dài tập (xà phòng),tag,gắn thẻ ai đó vào bài viết,Politics and public institutions
independence,/ˌɪndɪˈpendəns/,noun,sự độc lập,"the freedom to organize your own life, make your own decisions, etc. without needing help from other people",The country gained its independence in 1945.,Đất nước giành được độc lập vào năm 1945.,The region is fighting for its independence.,Khu vực này đang đấu tranh giành độc lập.,B1,,,,,The country gained its _____________ in 1945.,The region is fighting for its _____________.,federation,liên bang,parliament,"Quốc hội, nghị viện",polling day,ngày bầu cử/ngày bỏ phiếu,investigate,Điều tra,profile picture,ảnh đại diện,Politics and public institutions
term,/tɜːm/,noun,học kỳ,"one of the periods into which a year is divided at school, college, or university",We have three terms in our school year.,Năm học của chúng tôi có ba học kỳ.,We have exams at the end of each term.,Chúng tôi có các bài kiểm tra vào cuối mỗi học kỳ.,A1,,,,,We have three _____________ in our school year.,We have exams at the end of each _____________.,branch,Nhánh cây,candidate,"Ứng viên, người ứng cử",parliamentary,thuộc về nghị viện,detective,"Thám tử, điều tra viên",DM,tin nhắn trực tiếp,Politics and public institutions
appoint,/əˈpɔɪnt/,verb,"bổ nhiệm, chỉ định",to choose somebody for a job or position of responsibility,The board appointed a new CEO.,Hội đồng quản trị đã bổ nhiệm một giám đốc điều hành mới.,She was appointed as head of the marketing department.,Cô ấy được bổ nhiệm làm trưởng phòng marketing.,B2,,,,,The board _____________ a new CEO.,She was _____________ as head of the marketing department.,monarchy,"Chế độ quân chủ, nền quân chủ",seat,"chỗ ngồi, ghế",general election,tổng tuyển cử,drama,"kịch, chính kịch, tuồng",public,công cộng,Politics and public institutions
cabinet,/ˈkæbɪnət/,noun,nội các,"(often the Cabinet) a group of the most important government ministers, responsible for government policy and making decisions.",The files are stored in the filing cabinet.,Các hồ sơ được lưu trữ trong tủ đựng tài liệu.,Please get a cup from the kitchen cabinet.,Hãy lấy một cái tách từ tủ bếp.,B2,,,,,The files are stored in the filing _____________.,Please get a cup from the kitchen _____________.,democracy,Nền dân chủ,politician,chính trị gia,constituency,cử tri đoàn/khu vực bầu cử,news,Tin tức,account,tài khoản,Politics and public institutions
pay a fine,ˌpeɪ ə ˈfaɪn,phrase,nộp tiền phạt,to give money as punishment,He had to pay a fine for speeding.,Anh ấy đã phải nộp tiền phạt vì chạy quá tốc độ.,You will pay a fine if you park illegally.,Bạn sẽ nộp phạt nếu đỗ xe trái phép.,B2,,,,,He had to _____________ for speeding.,You will _____________ if you park illegally.,dictatorship,Chế độ độc tài,coalition,liên minh (chính phủ),chamber,viện (trong quốc hội),sport,thể thao,private,"Tư nhân, riêng tư.","Obligation, need, possibility and probability"
deliberation,dɪˌlɪbəˈreɪʃn,noun,sự bàn bạc/nghị án,careful discussion or thought,The jury went into deliberation for two hours.,Bồi thẩm đoàn đã nghị án trong hai giờ.,"After careful deliberation, they reached a decision.","Sau khi bàn bạc kỹ lưỡng, họ đã đưa ra quyết định.",C1,,,,,The jury went into _____________ for two hours.,"After careful _____________, they reached a decision.",presidential,"Thuộc về tổng thống, chủ tịch",ballot,"lá phiếu, cuộc bỏ phiếu (trong bầu cử)",representative,"tiêu biểu, đại diện, mang tính đại diện",subtitle,Phụ đề,privacy,"sự riêng tư, đời tư",Crime
accuse,/əˈkjuːz/,verb,buộc tội,to say that somebody has done something wrong or is guilty of something,He was accused of robbery.,Anh ta bị buộc tội cướp.,The prosecutor decided to accuse him of first-degree murder.,Công tố viên đã quyết định buộc tội anh ta về tội giết người cấp độ một.,B1,,,,,He was _____________ of robbery.,The prosecutor decided to _____________ him of first-degree murder.,government,"Chính phủ, chính quyền",member of parliament,nghị sĩ,majority,"Đa số, phần lớn",game show,chương trình trò chơi truyền hình,create,"tạo ra, sáng tạo",Crime
witness,/ˈwɪtnəs/,noun,nhân chứng,"a person who sees an event, typically a crime or accident, happen",Police are appealing for witnesses to the accident.,Cảnh sát đang kêu gọi những nhân chứng của vụ tai nạn.,The defense called its first witness to the stand.,Bên bào chữa đã gọi nhân chứng đầu tiên của mình lên bục khai.,B1,,,,,Police are appealing for _____________ to the accident.,The defense called its first _____________ to the stand.,congress,"Quốc hội (Mỹ), đại hội",legislature,cơ quan lập pháp,select,"Chọn, lựa chọn",weather forecast,dự báo thời tiết,default,mặc định,Crime
robbery,/ˈrɒbəri/,noun,"vụ cướp, tội cướp","the crime of stealing money or goods from a bank, shop, etc., especially using violence or threats",There was a robbery at the bank on Main Street yesterday.,Đã xảy ra một vụ cướp tại ngân hàng trên phố Main vào ngày hôm qua.,Armed robbery carries a much heavier sentence than theft without a weapon.,Tội cướp có vũ trang bị phạt nặng hơn nhiều so với trộm cắp không có vũ khí.,B1,,,,,There was a _____________ at the bank on Main Street yesterday.,Armed _____________ carries a much heavier sentence than theft without a weapon.,judge,"thẩm phán, giám khảo",federation,liên bang,minister,Bộ trưởng,dub,lồng tiếng,social media,mạng xã hội,Crime
crime,/kraɪm/,noun,tội phạm,activities that involve breaking the law,Police are working to reduce crime in the area.,Cảnh sát đang làm việc để giảm tội phạm trong khu vực.,The police are investigating a serious crime.,Cảnh sát đang điều tra một tội ác nghiêm trọng.,B1,,,,,Police are working to reduce _____________ in the area.,The police are investigating a serious _____________.,elect,"Bầu, lựa chọn",branch,Nhánh cây,prime minister,Thủ tướng,receive,"nhận (tín hiệu, thông tin, bản tin)",friend request,lời mời kết bạn,Crime
jail,/dʒeɪl/,noun,"nhà tù, nhà giam","a place where people are kept as a punishment for a crime, or while waiting for trial",He was sent to jail for robbery.,Anh ta bị đưa vào tù vì tội cướp.,She was released from jail yesterday.,Cô ấy đã được thả ra khỏi nhà tù hôm qua.,A2,,,,,He was sent to _____________ for robbery.,She was released from _____________ yesterday.,party,Đảng chính trị,monarchy,"Chế độ quân chủ, nền quân chủ",head,"đi về hướng, lãnh đạo",polling station,điểm bỏ phiếu,rate,"Tỷ lệ, mức",Crime
charge,/tʃɑːdʒ/,verb,Sạc điện; tính phí,To put electricity into a battery; to ask for money as a price,The hotel charges,The company charges a fee for late payments.,150 per night.,Khách sạn tính phí 150 đô la một đêm.,B1,,,,,The hotel _____________,150 per night.,president,"Chủ tịch, tổng thống",democracy,Nền dân chủ,senate,Thượng viện,polling day,ngày bầu cử/ngày bỏ phiếu,update,Cập nhật,Crime
arrest,/əˈrest/,noun,Sự bắt giữ,The act of arresting somebody.,They failed to arrest the company's decline.,Họ đã thất bại trong việc ngăn chặn sự suy thoái của công ty.,The police had to arrest the suspect.,Cảnh sát đã phải bắt giữ kẻ tình nghi.,B1,,,,,They failed to _____________ the company's decline.,The police had to _____________ the suspect.,house,ngôi nhà,dictatorship,Chế độ độc tài,parliament,"Quốc hội, nghị viện",parliamentary,thuộc về nghị viện,follow,theo dõi,Crime
evidence,/ˈevɪdəns/,noun,bằng chứng,"the facts, signs or objects that make you believe that something is true",There is no evidence to support his claims.,Không có chứng cứ nào ủng hộ tuyên bố của anh ta.,The police found evidence linking the suspect to the crime scene.,Cảnh sát đã tìm thấy chứng cứ liên kết nghi phạm với hiện trường vụ án.,B2,,,,,There is no _____________ to support his claims.,The police found _____________ linking the suspect to the crime scene.,republic,Nền cộng hòa,presidential,"Thuộc về tổng thống, chủ tịch",candidate,"Ứng viên, người ứng cử",general election,tổng tuyển cử,subscribe,"Đặt mua (báo dài hạn), đăng ký (dịch vụ)",Crime
case,/keɪs/,Noun,"Hộp, vali, vỏ, tình huống",A container or covering used to hold or protect something,"In many cases, early intervention can prevent more serious problems.","Trong nhiều trường hợp, can thiệp sớm có thể ngăn ngừa những vấn đề nghiêm trọng hơn.","She felt deeply hurt, humiliated, and utterly betrayed when she accidentally discovered that her closest and most trusted friend had been secretly spreading malicious and false rumors about her behind her back for months.","Cô ấy cảm thấy bị tổn thương sâu sắc, bị sỉ nhục và hoàn toàn bị phản bội khi cô ấy vô tình phát hiện ra rằng người bạn thân nhất và đáng tin cậy nhất của mình đã bí mật lan truyền những tin đồn ác ý và sai sự thật về cô ấy sau lưng cô ấy trong nhiều tháng.",A1,,,,,"In many _____________, early intervention can prevent more serious problems.","She felt deeply hurt, humiliated, and utterly _____________ when she accidentally discovered that her closest and most trusted friend had been secretly spreading malicious and false rumors about her behind her back for months.",independence,sự độc lập,government,"Chính phủ, chính quyền",seat,"chỗ ngồi, ghế",constituency,cử tri đoàn/khu vực bầu cử,like,Giống như,Crime
